영문공항명,한글공항명,공항코드1(IATA),한글국가명
Ciudad del Carmen International Airport,시우다드 델 카르멘 국제 공항,CME,멕시코
Ciudad Guayana Airport,시우다드 과야나 공항,CGU,베네수엘라
Ciudad Obregon International Airport,시우다드 오브레곤 국제 공항,CEN,멕시코
Ciudad Real Central Airport,시우다드 리얼 센트럴 공항,CQM,스페인
Civil Aerodrome Khajuraho,카주라호 민간 비행장,HJR,인도
Clarence A. Bain Airport,클래런스 A. 베인 공항,MAY,바하마
Clarence Valley Regional Airport,클래런스 밸리 공항,GFN,오스트레일리아
Clark International Airport,클라크 국제 공항,CRK,필리핀
Clarks Point Airport,클락스 포인트 공항,CLP,미국
Clayton J. Lloyd International Airport,클레이튼 J. 로이드 국제 공항,AXA,앵귈라
Clayton Municipal Airpark,클레이튼 시립 비행장,CAO,미국
Clermont Airport,클레르몽 공항,CMQ,오스트레일리아
Clermont Ferrand Auvergne Airport,클레몽 페랑 오베뉴 공항,CFE,프랑스
Cleveland Burke Lakefront Airport,클리블랜드 버크 레이크프론트 공항,BKL,미국
Cleveland Hopkins International Airport,클리블랜드 홉킨스 국제 공항,CLE,미국
Clinton Municipal Airport,클린턴 공항,CWI,미국
Clinton National Airport,클린턴 내셔널 공항,LIT,미국
Clinton Regional Airport,클린턴 공항,CLK,미국
Cloncurry Airport,클론커리 공항,CNJ,오스트레일리아
Clovis Municipal Airport,클로비스 공항,CVN,미국
Club Makokola Airport,클럽 마코콜라 에어포트 ,CMK,말라위
Cluj Napoca International Airport,클루지나포카 국제공항,CLJ,루마니아
Clyde River Airport,클라이드 리버 공항,YCY,캐나다
Coari Airport,코아리 공항,CIZ,브라질
Coastal Carolina Regional Airport,코스탈 캐롤라이나 공항,EWN,미국
Coatepeque Airport,코아테페크 공항,CTF,페루
Cobar Airport,코바 공항,CAZ,오스트레일리아
Cochin International Airport,코친 국제공항,COK,인도
Coconut Island Airport,코코넛 아일랜드 공항,CNC,오스트레일리아
Cocos  Islands Airport,코코스 ,CCK,코코스제도(오스트레일리아)
Coen Airport,코엔 공항,CUQ,오스트레일리아
Coffee Point Airport,커피 포인트 공항,CFA,미국
Coffman Cove Seaplane Base,코프먼 코브 수상비행기 기지,KCC,미국
Coffs Harbour Airport,콥스 하버 공항,CFS,오스트레일리아
Coimbatore International Airport,코임바토르 국제 공항,CJB,인도
Coimbra Airport,코임브라 공항,n/a,포르투갈
Cold Bay Airport,콜드 베이 공항,CDB,미국
Coldfoot Airport,콜드풋 공항,CXF,미국
Coleman A. Young International Airport,콜맨 A. 영 국제 공항,DET,미국
Coll Airport,콜 공항,COL,영국
Cologne Bonn Airport,쾰른 본 공항,CGN,독일
Colombo International Airport Ratmalana,콜롬보 국제공항 라트말라나,RML,스리랑카
Colonel Hill Airport,콜론 힐 공항,CRI,바하마
Colonsay Airport,콜론세이 공항,CSA,영국
Colorado Springs Airport,콜로라도 스프링스 공항,COS,미국
Columbia Metropolitan Airport,콜럼비아 메트로폴리탄 공항,CAE,미국
Columbia Regional Airport,콜럼비아 공항,COU,미국
Columbus Airport,콜럼버스 공항,CSG,미국
Columbus Municipal Airport,콜럼버스 시립공항,CLU,미국
Colville Lake Airport,콜빌 호수/토미 코촌 비행장,YCK,캐나다
Comandante Armando Tola International Airport,코만단테 아르만도 톨라 국제공항,FTE,아르헨티나
Comandante Espora Airport,코망단트 에스포라 공항,BHI,아르헨티나
Comandante Gustavo Kraemer Airport,코만단테 구스타보 크라이머 공항,BGX,브라질
Comiso Airport,코미소 공항,CIY,이탈리아
Comodoro D. Ricardo Salomon Airport,코모도로 D. 리카르도 살로몬 공항,LGS,아르헨티나
Comodoro Pierrestegui Airport,코모도로 피에레스테기 공항,COC,아르헨티나
Comox Valley Airport,커먹스 밸리 공항,YQQ,캐나다
Comte. Antonio Amilton Beraldo Airport,콩트. 안토니오 아밀턴 베랄도 공항,PGZ,브라질
Comte. Ariston Pessoa Regional Airport,콩트. 아리스톤 페소아 지역공항,JJD,브라질
Con Dao Airport,꼰다오 공항,VCS,베트남
Conakry International Airport,코나크리 국제공항,CKY,기니
Concord Regional Airport,콩코드 지역공항,USA,미국
Concordia Airport,콘코르디아 공항,CCI,브라질
Confresa Airport,콘프레사 공항,CFO,브라질
Connemara Airport,코네마라 공항,NNR,아일랜드
Contador Airport,콘타도르 공항,PTX,콜롬비아
Contadora Airport,콘타도라 공항,OTD,파나마
Coober Pedy Airport,쿠버 페디 공항,CPD,오스트레일리아
Cooch Behar Airport,쿠치 베하르 공항,COH,인도
Cooktown Airport,쿡타운 공항,CTN,오스트레일리아
Cooma Snowy Mountains Airport,쿠마 스노위 마운틴 공항,OOM,오스트레일리아
Coondewanna Airport,쿤데완나 공항,CJF,오스트레일리아
Copan Ruinas Airport,코판 루이나스 공항,RUY,온두라스
Copenhagen Airport Kastrup,코펜하겐 공항 Kastrup,CPH,덴마크
Coral Harbour Airport,코럴 하버 공항,YZS,캐나다
Corazon de JesUs Airport,코라손 데 헤수스 공항,CZJ,파나마
Cordoba Airport,코르도바 공항,ODB,스페인
Corfu International Airport,코르푸 국제공항,CFU,그리스
Cork Airport,코크 공항,ORK,아일랜드
Corn Island Airport,콘아일랜드 공항,RNI,니카라과
Corner Bay Airport,코너 베이,CBA,미국
Coronel Altino Machado de Oliveira Airport,코로넬 알티노 마차도 데 올리베이라 에어포트,GVR,브라질
Coronel FAP Alfredo MendIvil Duarte Airport,야나밀라 공항,AYP,페루
Coronel FAP Carlos Ciriani Santa Rosa International Airport,코로넬 FAP 카를로스 시리아니 산타 로사 국제공항,TCQ,페루
Coronel FAP Francisco Secada Vignetta International Airport,코로넬 FAP 프란시스코 세카다 비네타 국제공항,IQT,페루
Coronel Felipe Varela International Airport,코로넬 펠리페 바렐라 국제 공항,CTC,아르헨티나
Coronel Horacio de Mattos Airport,코로넬 호라시오 데 마토스 공항,LEC,브라질
Corozal Airport,코로잘 공항,CZH,벨리즈
Corpus Christi International Airport,코퍼스 크리스티 국제 공항,CRP,미국
Corrente Airport,코렌테 공항,n/a,브라질
Cortes Island Aerodrome,코르테스 아일랜드 비행장,YCF,캐나다
Cortez Municipal Airport,코르테즈 시립 공항,CEZ,미국
Corumba International Airport,코룸바 국제공항,CMG,브라질
Corvo Airport,코르보 공항,CVU,포르투갈
Costa Esmeralda Airport,코스타 에스메랄다 공항,ECI,니카라과
Coto 47 Airport,코토 47 공항,OTR,코스타리카
Cotopaxi International Airport,코토팍시 국제공항,LTX,에콰도르
Cottbus Drewitz Airport,콧부스 드레비츠 공항,CBU,독일
Coventry Airport,코번트리 공항,CVT,영국
Cox's Bazar Airport,콕스 바자르 공항,CXB,방글라데시
Cozumel International Airport,코수멜 국제 공항,CZM,멕시코
Craig Cove Airport,크레이그 코브 공항,CCV,바누아투
Craig Seaplane Base,크레이그 수상비행기 기지,CGA,미국
Craiova International Airport,크라이오바 국제공항,CRA,루마니아
Cranfield Airport,크랜필드 공항,n/a,영국
Creel Airport,크릴 공항,n/a,멕시코
Croker Island Airport,크로커 아일랜드 공항,CKI,오스트레일리아
Crooked Creek Airport,크룩트 크릭 공항,CKD,미국
Cross Lake  Airport,크로스 레이크 ,YCR,캐나다
Crotone Airport,코로톤 공항,CRV,이탈리아
Cruzeiro do Sul International Airport,크루제이루두술 국제공항,CZS,브라질
Cuamba Airport,쿠암바 공항,FXO,모잠비크
Cukurova International Airport,추쿠로바 국제공항,COV,터키
Culpina Airport,쿨피나 공항,n/a,볼리비아
Cumbernauld Airport,컴버놀드 공항,n/a,영국
Cunderdin Airport,컨더딘 공항,n/a,오스트레일리아
Cuneo International Airport,쿠네오 국제 공항,CUF,이탈리아
Cunnamulla Airport,쿤나물라 공항,CMA,오스트레일리아
Curacao International Airport,퀴라소 국제공항,CUR,네덜란드령 퀴라소
Cut Bank Municipal Airport,컷 뱅크 공항,CTB,미국
Cut Nyak Dhien Airport,컷 냑 디엔 공항,MEQ,인도네시아
Cuyo Airport,쿠요 공항,CYU,필리핀
Cyril E. King Airport,시릴 E. 킹 공항,STT,버진 아일랜드
Czestochowa Rudniki Airport,쳉스토호바 루드니키 공항,n/a,폴란드
Da Nang International Airport,다낭 국제 공항,DAD,베트남
Dabo Singkep Airport,다보 싱켑 공항,SIQ,인도네시아
Dabolim Airport,다보림 공항,GOI,인도
Dadu Airport,다두 공항,DDU,파키스탄
Daegu International Airport,대구국제공항,TAE,대한민국
Dakhla Airport,다클라 공항,VIL,서사하라
Dala Airport,달라 공항,BLE,스웨덴
Dalaman Airport,달라만 공항,DLM,터키
Dalanzadgad Airport,달란자드가드 공항,DLZ,몽골
Dalbandin Airport,달반딘 공항,DBA,파키스탄
Dali Airport,다리 공항,DLU,중국
Dalian Zhoushuizi International Airport,다롄 저우수이쯔 국제공항,DLC,중국
Dallas Executive Airport,댈러스 이그제큐티브 공항,RBD,미국
Dallas Love Field,댈러스 러브 필드,DAL,미국
Dallas/Fort Worth International Airport,댈러스/포트워스 국제공항,DFW,미국
Dalma Airport,달마 공항,ZDY,아랍에미레이트
Dalnegorsk Airport,달네고르스크 공항,DHG,러시아
Dalnerechensk Airport,달네레첸스크 공항,DLR,러시아
Daloa Airport,달로아 공항,DJO,코트디부아르
Damascus International Airport,다마스쿠스 국제 공항,DAM,시리아
Damaturu International Airport,다마투루 국제공항,n/a,나이지리아
Damazin Airport,다마진 공항,RSS,수단
Dambulu Oya Tank Seaplane Base,담불루 오야 탱크 수상비행기 기지,DBU,스리랑카
Danbury Municipal Airport,댄버리 공항,DXR,미국
Dandong Langtou Airport,단동 랑터우 공항,DDG,중국
Dane County Regional Airport,데인 카운티 리저널 공항,MSN,미국
Dang Tarigaun Airport,당 타리가운 공항,DNP,네팔
Dangriga Airport,당그리가 공항,DGA,벨리즈
Daniel Oduber Quiros International Airport,다니엘 오두베르 퀴로스 국제공항,LIR,코스타리카
Daniel Z. Romualdez Airport,다니엘 Z. 로무알데스 공항,TAC,필리핀
Daocheng Yading Airport,다오청 야딩 공항,DCY,중국
Daporijo Airport,다포리조 공항,DEP,인도
Daqing Sartu Airport,다칭 사르투 공항,DQA,중국
Darab Airport,다랍 공항,n/a,이란
Darbhanga Airport,다르방가 공항,DBR,인도
Darnley Island Airport,단리 아일랜드 공항,NLF,오스트레일리아
Daru Airport,다루 공항,DAU,파푸아뉴기니
Darwin International Airport,다윈 국제 공항,DRW,오스트레일리아
Dasht e Naz Airport,다쉿 나즈 공항,SRY,이란
DaSoguz Airport,다쇼구즈 공항,TAZ,투르크메니스탄
Datadawai Airport,다타다와이 공항,DTD,인도네시아
Datia Airport,다티아 공항,DPP,인도
Datong Yungang Airport,다퉁 윈강 공항,DAT,중국
Dauphin Airport,도핀 공항,YDN,캐나다
David Constantijn Saudale Airport,데이비드 콘스탄틴 소데일 공항,RTI,인도네시아
David the Builder Kutaisi International Airport,데이비드 더 빌더 쿠타이시 국제공항,KUT,조지아
Davis Monthan Air Force Base,데이비스 몬탄 공군기지,DMA,미국
Dawadmi Domestic Airport,다와드미 국내선 공항,DWD,사우디아라비아
Dawei Airport,다웨이 공항,TVY,미얀마
Dawson City Airport,도슨 시티 공항,YDA,캐나다
Dawson Community Airport,도슨 커뮤니티 공항,GDV,미국
Dawson Creek Airport,도슨 크릭 공항,YDQ,캐나다
Dayrestan Airport,Dayrestan 공항(케심 국제공항,GSM,이란
Dayton International Airport,데이턴 국제 공항,DAY,미국
Dayton Wright Brothers Airport,데이턴 라이트 브라더스 공항,MGY,미국
Daytona Beach International Airport,데이토나 비치 국제 공항,DAB,미국
Dazhou Heshi Airport,다저우 허스 공항,DAX,중국
Dazhou Jinya Airport,다저우 진야 공항,DZH,중국
De Kooy Airfield,드 쿠이 비행장,DHR,네덜란드
Deadhorse Airport,데드호스 공항,SCC,미국
Deadman's Cay Airport,데드맨스 케이 공항,LGI,바하마
Dease Lake Airport,데즈 레이크 공항,YDL,캐나다
Deauville Saint Gatien Airport,도빌 생가티안 공항,DOL,프랑스
Debrecen International Airport,데브레첸 국제 공항,DEB,헝가리
Decatur Airport,디케 이터 공항,DEC,미국
Deer Lake Airport,디어 레이크 공항,YVZ,캐나다
Deer Lake Regional Airport,디어 레이크 공항,YDF,캐나다
Deering Airport,디어링 공항,DRG,미국
Dehong Mangshi Airport,망시 공항,LUM,중국
Deir ez Zor Airport,데이르에조르 공항,DEZ,시리아
DeKalb Peachtree Airport,드칼브 피치트리 공항,PDK,미국
Del BajIo International Airport,델 바히오 국제공항,BJX,멕시코
Del Norte County Airport,델 노르 카운티 공항,CEC,미국
Del Norte International Airport,델 노르테 국제공항,NTR,멕시코
Del Rio International Airport,델 리오 국제 공항,DRT,미국
Deline Airport,델린 공항,YWJ,캐나다
Delingha Airport,델링하 공항,HXD,중국
Delta County Airport,델타 카운티 공항,ESC,미국
Delta Junction Airport,델타 정션 공항,DJN,미국
Dembidolo Airport,뎀비돌로 공항,DEM,이디오피아
Deniliquin Airport,데닐리퀸 공항,DNQ,오스트레일리아
Denizli cardak Airport,데니즐리 차닥 공항,DNZ,터키
Denver International Airport,덴버 국제 공항,DEN,미국
Deoghar Airport,데오가르 공항,DGH,인도
Depati Amir Airport,데파티 아미르 공항,PGK,인도네시아
Depati Parbo Airport,데파티 파르보 공항,KRC,인도네시아
Deputado LuIs Eduardo Magalhaes International Airport,데푸타도 루이스 에두아르도 마갈량이스 국제공항,SSA,브라질
Deputatsky Airport,데푸타츠키 공항,DPT,러시아
Deqing Moganshan Airport,더칭 모간산 공항,n/a,중국
Dera Ghazi Khan International Airport,데라 가지 칸 국제 공항,DEA,파키스탄
Dera Ismail Khan Airport,데라 이스마일 칸 공항,DSK,파키스탄
Derby Airport,더비 공항,DRB,오스트레일리아
Des Moines International Airport,디모인 국제 공항,DSM,미국
Desierto de Atacama Airport,데시에르토 데 아타카마 공항,CPO,칠레
Desolation Sound Airport,데솔레이션 사운드 공항,YDS,캐나다
Destin Executive Airport,데스틴 이그제큐티브 공항,DSI,미국
Destin Fort Walton Beach Airport,데스틴 포트 월튼 비치 공항,VPS,미국
Detroit Metropolitan Wayne County Airport,디트로이트 메트로폴리탄 웨인 카운티 공항,DTW,미국
Devi Ahilyabai Holkar International Airport,데비 아힐랴바이 홀카르 국제공항,IDR,인도
Devils Lake Regional Airport,데블스 레이크 리저널 공항,DVL,미국
Devonport Airport,데본포트 공항,DPO,오스트레일리아
Dewadaru Airport,데와다루 공항,KWB,인도네시아
Dezful Airport,데즈풀 공항,DEF,이란
Dhaalu Airport,다알루 공항,DDD,몰디브
Dhangadhi Airport,당가디 공항,DHI,네팔
Dharavandhoo Airport,다라반두 공항,DRV,몰디브
Diamantina Airport,디아만티나 공항,DTI,브라질
Dibrugarh Airport,디브루가르 공항,DIB,인도
Dickinson Theodore Roosevelt Regional Airport,디킨슨 시어도어 루즈벨트 공항,DIK,미국
Diego Aracena International Airport,디에고 아라세나 국제 공항,IQQ,칠레
Dien Bien Phu Airport,디엔비엔푸 공항,DIN,베트남
Diffa Tandja Mamadou Airport,디파 탄자 마마두 공항,n/a,니제르
Dijon Air Base,디종 공군기지,DIJ,프랑스
Dikson Airport,딕슨 공항,DKS,러시아
Dillingham Airport,딜링햄 공항,DLG,미국
Dillon's Bay Airport,딜런스 베이 공항,DLY,바누아투
Dimapur Airport,디마푸르 공항,DMU,인도
Dinard Pleurtuit Saint Malo Airport,디나르 플뢰르튀 생 말로 공항,DNR,프랑스
Diomede Heliport,디오메데 헬리포트,DIO,미국
DiomIcio Freitas Airport,디오미시오 프레이타스 공항,CCM,브라질
Diori Hamani International Airport,디오리 하마니 국제공항,NIM,니제르
Dipayal Silgadhi Airport,디파얄 실가디 공항,n/a,네팔
Dipolog Airport,디포로그 공항,DPL,필리핀
Diqing Shangri La Airport,디칭 샹그릴라 공항,DIG,중국
Diu Airport,디우 공항,DIU,인도
Divinopolis Airport,디비노폴리스 공항,DIQ,브라질
Diyarbakir Airport,디야르바키르 공항,DIY,터키
Diyawanna Oya Seaplane Base,디야완나 오야 수상비행기 기지,DWO,스리랑카
Djambala Airport,잠발라 공항,DJM,콩고
Djerba Zarzis International Airport,제르바 자르지스 국제공항,DJE,튀니지
Djibouti Ambouli International Airport,지부티 암불리 국제공항,JIB,지부티
Dnipro International Airport,드니프로 국제 공항,DNK,우크라이나
Dobbins Air Reserve Base,도빈스 공군 예비군 기지,MGE,미국
Dobo Airport,도보 공항,DOB,인도네시아
Doctor Fernando Piragine Niveyro International Airport,페르난도 피라진 박사 니베이로 국제공항,CNQ,아르헨티나
Dodge City Regional Airport,닷지 시티 공항,DDC,미국
Dodoma Airport,도도마 공항,DOD,탄자니아
Dole Jura Airport,돌 쥐라 공항,DLE,프랑스
Dolisie Airport,돌리시 공항,DIS,콩고
Dolpa Airport,돌파 공항,DOP,네팔
Domingo Faustino Sarmiento Airport,도밍고 파우스티노 사르미엔토 공항,UAQ,아르헨티나
Dominique Edward Osok Airport,도미니크 에드워드 오속 공항,SOQ,인도네시아
Domodedovo International Airport,도모데도보 국제공항,DME,러시아
Don Mueang International Airport,돈므앙 국제공항,DMK,태국
Donakonda Airport,도나콘다 공항,n/a,인도
Doncaster Sheffield Airport,로빈훗 돈캐스터 쉐필드 공항,DSA,영국
Donegal Airport,도니골 공항,CFN,아일랜드
Donetsk International Airport,도네츠크 국제 공항,DOK,우크라이나
Dong Hoi Airport,동호이 공항,VDH,베트남
Dong Tac Airport,동택 공항,TBB,베트남
Dongola Airport,동골라 공항,DOG,수단
Dongying Shengli Airport,동영 셩리 공항,DOY,중국
Donoi Airport,도노이 공항,ULZ,몽골
Donyi Polo Airport,돈이 폴로 공항,HGI,인도
Doomadgee Airport,두마지 공항,DMD,오스트레일리아
Dortmund Airport,도르트문트 공항,DTM,독일
Dothan Regional Airport,도탄 공항,DHN,미국
Douala International Airport,두알라 국제공항,DLA,카메룬
Douglas Charles Airport,더글러스 찰스 공항,DOM,도미니카
Dourados Airport,두라도스 공항,DOU,브라질
Dover Air Force Base,도버 공군기지,DOV,미국
Dr. Antonio Nicolas Briceno Airport,닥터 안토니오 니콜라시 브리체뇨 공항,VLV,베네수엘라
Dr. Augusto Roberto Fuster International Airport,아우구스토 로베르토 푸스터 국제 공항,PJC,파라과이
Dr. Babasaheb Ambedkar International Airport,암베드카 국제공항,NAG,인도
Dr. Juan C. Angara Airport,발러 공항,BQA,필리핀
Dr. Luis MarIa Argana International Airport,닥터 루이스 마리아 아르가냐 국제공항,ESG,파라과이
Drake Bay Airport,드레이크 베이 공항,DRK,코스타리카
Drake Field,드레이크 필드 공항,FYV,미국
Dresden Airport,드레스덴 공항,DRS,독일
Dryden Regional Airport,드라이든 공항,YHD,캐나다
Dsseldorf Airport,뒤셀도르프 공항,DUS,독일
Dubai Creek Seaplane Base,두바이 크릭 수상비행기 기지,DCG,아랍에미레이트
Dubai International Airport,두바이 국제 공항,DXB,아랍에미레이트
Dubbo City Regional Airport,더보 시티 공항,DBO,오스트레일리아
Dublin Airport,더블린 공항,DUB,아일랜드
DuBois Regional Airport,두보이스 공항,DUJ,미국
Dubrovnik Airport,두브로브니크 공항,DBV,크로아티아
Dubuque Regional Airport,더뷰크 공항,DBQ,미국
Duluth International Airport,덜루스 국제 공항,DLH,미국
Dumka Sido Kanhu Airport,둠카 시도 칸후 공항,n/a,인도
Dundee Airport,던디 공항,DND,영국
Dundo Airport,둔도 공항,DUE,앙골라
Dunedin International Airport,더니든 국제 공항,DUD,뉴질랜드
Dunhuang Airport,둔황 공항,DNH,중국
Dunk Island Airport,덩크 아일랜드 공항,DKI,오스트레일리아
DuPage Airport,뒤페이지 공항,DPA,미국
Duqm International Airport,두쿰 국제공항,DQM,오만
Durango La Plata County Airport,두랑고 라플라타 카운티 공항,DRO,미국
Dushanbe International Airport,두샨베 국제 공항,DYU,타지키스탄
Dutse Airport,두체 공항,n/a,나이지리아
Dzaoudzi Pamandzi International Airport,자우지 파만지 국제공항,DZA,마요트
Eagle Airport,이글 공항,EAA,미국
Eagle County Regional Airport,이글 카운티 공항,EGE,미국
Eagle River Union Airport,이글 리버 유니언 공항,EGV,미국
East Hampton Airport,이스트 햄프턴 공항,HTO,미국
East Kimberley Regional Airport,이스트 킴벌리 공항,KNX,오스트레일리아
East Midlands Airport,이스트 미들랜드 공항,EMA,영국
East Texas Regional Airport,이스트 텍사스 공항,GGG,미국
Eastern Oregon Regional Airport,이스턴 오리건 공항,PDT,미국
Eastern Sierra Regional Airport,이스턴 시에라 공항,BIH,미국
Eastern WV Regional Airport,이스턴 WV 지역 공항,MRB,미국
Easterwood Airport,이스터우드 공항,CLL,미국
Eastmain River Airport,이스트메인 리버 공항,ZEM,캐나다
Ebon Airport,에본 공항,EBO,마샬 군도
Ebonyi Chuba Okadigbo International Airport,에보니 추바 오카디그보 국제공항,n/a,나이지리아
Ed Daein Airport,에드 데인 공항,ADV,수단
Eday Airport,이데이 공항,EOI,영국
Edinburgh Airport,에든버러 공항,EDI,영국
Edmonton International Airport,에드먼턴 국제 공항,YEG,캐나다
Edmonton Parkland Airport,에드먼턴 파크랜드 공항,n/a,캐나다
Edmundo Carvajal Airport,에드문도 카르바할 공항,XMS,에콰도르
Edna Bay Seaplane Base,에드나 베이 수상비행기 기지,EDA,미국
Eduardo Falla Solano Airport,에두아르도 팔라 솔라노 공항,SVI,콜롬비아
Eduardo Gomes International Airport,에두아르도 고메스 국제 공항,MAO,브라질
Edward Bodden Airfield,에드워드 보든 비행장,LYB,케이멘제도
Edward G. Pitka Sr. Airport,에드워드 G. 피트카 시니어 공항,GAL,미국
Edward River Airport,에드워드 리버 공항,EDR,오스트레일리아
Edwards Air Force Base,에드워즈 공군기지,EDW,미국
Eek Airport,에크 공항,EEK,미국
Egegik Airport,에게직 공항,EGX,미국
Egilsstaoir Airport,에질스스타디르 공항,EGS,아이슬란드
Eielson Air Force Base,아일슨 공군기지,EIL,미국
Eindhoven Airport,아인트호벤 공항,EIN,네덜란드
Eirunepe Airport,에이루네페 공항,ERN,브라질
Ejin Banner Taolai Airport,에진 배너 타오라이 공항,EJN,중국
Ekuk Airport,에쿡 공항,KKU,미국
Ekwok Airport,엑웍 공항,KEK,미국
El Aguacate Airport,엘 아과카테 공항,n/a,온두라스
El Alcaravan Airport,엘 알카라반 공항,EYP,콜롬비아
El Alto International Airport,엘 알토 국제 공항,LPB,볼리비아
El Arish International Airport,엘 아리시 국제공항,AAC,이집트
El Bagre Airport,엘 바그레 공항,EBG,콜롬비아
El Bayadh Airport,엘 바야드 공항,EBH,알제리
El Bolson Airport,엘 볼손 공항,EHL,아르헨티나
El Carano Airport,엘 카라뇨 공항,UIB,콜롬비아
El Dorado International Airport,엘도라도 국제 공항,BOG,콜롬비아
El Eden International Airport,엘 에덴 국제 공항,AXM,콜롬비아
El Embrujo Airport,엘 엠브루호 공항,PVA,콜롬비아
El Fasher Airport,엘 파셔 공항,ELF,수단
El Golea Airport,엘 골레아 공항,ELG,알제리
El Hierro Airport,엘 히에로 공항,VDE,스페인
El Kharga Airport,엘 카르가 공항,UVL,이집트
El Lencero Airport,엘 렌세로 공항,JAL,멕시코
El Loa Airport,엘 로아 공항,CJC,칠레
El Nido Airport,엘니도 공항,ENI,필리핀
El Nouzha Airport,엘 누자 공항,ALY,이집트
El Obeid Airport,엘 오베이드 공항,EBD,수단
El Palomar Airport,엘 팔로마 공항,EPA,아르헨티나
El Paso International Airport,엘패소 국제 공항,ELP,미국
El Porvenir Airport,엘 포르베니르 공항,PVE,파나마
El TajIn National Airport,엘 타진 내셔널 공항,PAZ,멕시코
El Tari Airport,엘 타리 공항,KOE,인도네시아
El Tehuelche Airport,엘 테우엘체 공항,PMY,아르헨티나
El Tepual Airport,엘 테푸알 공항,PMC,칠레
El Tigre Airport,엘 티그레 공항,ELX,베네수엘라
El Tor Airport,엘 토르 공항,ELT,이집트
El Trompillo Airport,엘 트롬필로 공항,SRZ,볼리비아
Elazig Airport,엘라지그 공항,EZS,터키
Elcho Island Airport,엘초 아일랜드 공항,ELC,오스트레일리아
Eldoret International Airport,엘도레트 국제 공항,EDL,케냐
Elenak Airport,엘레낙 공항,EAL,마샬 군도
Elfin Cove Seaplane Base,엘핀 코브 수상비행기 기지,ELV,미국
Elim Airport,엘림 공항,ELI,미국
Elista Airport,엘리스타 공항,ESL,러시아
Elko Regional Airport,엘코 공항,EKO,미국
Ellington Field,엘링턴 필드,EFD,미국
Ellisras Airport,엘리스라스 공항,ELL,남아프리카
Ellsworth Air Force Base,엘즈워스 공군기지,RCA,미국
Elmira Corning Regional Airport,엘미라 코닝 지역 공항,ELM,미국
Eloy Alfaro International Airport,엘로이 알파로 국제 공항,MEC,에콰도르
Elrose Airport,엘로즈 공항,ERQ,오스트레일리아
Ely Airport,엘리 공항,ELY,미국
Embu Airport,엠부 공항,n/a,케냐
Emerald Airport,에메랄드 공항,EMD,오스트레일리아
Emmen Air Base,엠멘 공군기지,EML,스위스
Emmonak Airport,엠모낙 공항,EMK,미국
Emo Airport,이모 공항,EMO,파푸아뉴기니
Enarotali Airport,에나로탈리 공항,EWI,인도네시아
Enejit Airport,에네짓 공항,EJT,마샬 군도
Enewetak Auxiliary Airfield,에네웨탁 보조 비행장,ENT,마샬 군도
Enfidha Hammamet International Airport,엔피다 함마메트 국제공항,NBE,튀니지
Enggano Island Airport,엥가노 아일랜드 공항,n/a,인도네시아
Enonteki Airport,에논테키외 공항,ENF,핀란드
Enrique Adolfo Jimenez Airport,엔리케 아돌포 히메네스 공항,ONX,파나마
Enrique Malek International Airport,엔리케 말렉 국제 공항,DAV,파나마
Enschede AirportTwente,엔스헤데 공항트벤테,ENS,네덜란드
Enshi Xujiaping Airport,엔스 쉬자핑 공항,ENH,중국
Entebbe International Airport,엔테베 국제 공항,EBB,우간다
Enua Airport,에누아 공항,AIU,쿡 군도
epinal Mirecourt Airport,에피날 미르쿠르 공항,EPL,프랑스
Eppley Airfield,에플리 비행장,OMA,미국
Erbil International Airport,에르빌 국제 공항,EBL,이라크
Erbogachen Airport,에르보가첸 공항,ERG,러시아
Ercan International Airport,에르칸 국제공항,ECN,키프러스
Erechim Airport,에레킴 공항,ERM,브라질
Erenhot Saiwusu International Airport,에렌호터 사이우스 국제공항,ERL,중국
Erfurt Weimar Airport,에르푸르트 바이마르 공항,ERF,독일
Erie International Airport,이리 국제공항,ERI,미국
Erik Nielsen Whitehorse International Airport,에릭 닐슨 화이트호스 국제공항,YXY,캐나다
Erkilet International Airport,에르킬레트 국제공항,ASR,터키
Ernest A. Love Field,어니스트 에이 러브 필드,PRC,미국
Ernesto Cortissoz International Airport,에르네스토 코르티소스 국제 공항,BAQ,콜롬비아
Eros Airport,에로스 공항,ERS,나미비아
Erzincan Airport,에르진칸 공항,ERC,터키
Erzurum Airport,에르주룸 공항,ERZ,터키
Esbjerg Airport,에스비에르 공항,EBJ,덴마크
Esenboga International Airport,에센보아 국제공항,ESB,터키
Esperance Airport,에스페란스 공항,EPR,오스트레일리아
Esquel Airport,에스켈 공항,EQS,아르헨티나
Essaouira Mogador Airport,에사우이라 모가도르 공항,ESU,모로코
Essen/Mlheim Airport,에센/뮬하임 공항,ESS,독일
Essendon Airport,에센돈 공항,MEB,오스트레일리아
Etimesgut Air Base,에타임스구트 공군기지,ANK,터키
Eua Airport,우아 공항,EUA,통가
Eugene Airport,유진 공항,EUG,미국
Eugenio MarIa de Hostos Airport,에우제니오 마리아 데 호스토스 공항,MAZ,푸에르토리코
Eurico de Aguiar Salles Airport,에우리코 살레즈 공항,VIX,브라질
EuroAirportBasel Mulhouse Freiburg,유로에어포트 바젤 뮐루즈 프라이부르크,BSL,스위스
EuroAirportBasel Mulhouse Freiburg,유로에어포트 바젤 뮐루즈 프라이부르크,MLH,프랑스
